,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
1170,Justin,Frazier,The Grizzly Bear,Southpaw,,182.88,190.5,120.202,10,3,0,13,FIG2402
1171,Ian,Freeman,The Machine,Orthodox,,180.34,,102.058,20,7,1,28,FIG0720
1172,Jason,Freeman,,,,187.96,,102.058,6,4,0,10,FIG3058
1173,Willamy,Freire,Chiquerim,,,172.72,,70.307,26,6,0,32,FIG0493
1174,Patricio,Freire,Pitbull,,,165.1,165.1,65.771,26,4,0,30,FIG0618
1175,Patricky,Freire,Pitbull,,,170.18,180.34,70.307,17,8,0,25,FIG0922
1176,Jeremy,Freitag,,,,185.42,,92.986,6,10,0,16,FIG2017
1177,Rafael,Freitas,Capoeira,Orthodox,,,,92.986,3,6,0,9,FIG3235
1178,Donavon,Frelow,,Orthodox,,170.18,,61.235,6,3,0,9,FIG3180
1179,Josh,Fremd,,Orthodox,,193.04,193.04,83.915,11,5,0,16,FIG2131
1180,Clay,French,,Southpaw,,170.18,,73.028,19,7,0,26,FIG0874
1181,Mike,French,,,,177.8,,65.771,9,10,0,19,FIG1554
1182,Matt,Frevola,The SteamRolla,Orthodox,,175.26,180.34,70.307,11,3,1,15,FIG2132
1183,Jinh Yu,Frey,,Southpaw,,160.02,165.1,52.163,11,9,0,20,FIG1494
1184,Artem,Frolov,,,,177.8,,83.915,11,0,0,11,FIG2796
1185,Sarah,Frota,A Treta,Southpaw,,167.64000000000001,175.26,56.699,9,2,0,11,FIG2799
1186,Don,Frye,The Predator,Orthodox,,185.42,,99.337,20,9,1,30,FIG0623
1187,Tony,Fryklund,The Freak,Orthodox,,182.88,,83.915,14,9,1,24,FIG1024
1188,Adam,Fugitt,,Southpaw,,185.42,195.58,77.111,9,4,0,13,FIG2546
1189,Jesse,Fujarczyk,The Ronin,Southpaw,,193.04,,102.058,2,2,0,4,FIG3775
1190,Katsuhisa,Fujii,Shamoji,Orthodox,,182.88,,92.986,9,18,1,28,FIG0756
1191,Megumi,Fujii,Mega Megu,,,160.02,,51.256,26,3,0,29,FIG0636
1192,Kazuyuki,Fujita,Ironhead,Orthodox,,182.88,,106.594,15,12,0,27,FIG0778
1193,Keisuke,Fujiwara,,Switch,,167.64000000000001,,63.049,17,12,5,34,FIG0422
1194,Riki,Fukuda,,Southpaw,,182.88,185.42000000000002,83.915,24,9,0,33,FIG0436
1195,Masio,Fullen,Lobo,Orthodox,,177.8,177.8,65.771,11,7,0,18,FIG1652
1196,Travis,Fulton,The Ironman,Orthodox,,182.88,,108.862,253,53,10,316,FIG0001
1197,Sam,Fulton,,,,,,,0,2,0,2,FIG3929
1198,Masakatsu,Funaki,,Southpaw,,182.88,,83.915,39,13,2,54,FIG0066
1199,Ricardo,Funch,Golden Boy,Southpaw,,177.8,187.96,77.111,9,6,0,15,FIG2135
1200,Katsuaki,Furuki,,,,182.88,,76.203,1,1,0,2,FIG3925
1201,James,Gabert,,,,,,80.739,6,4,0,10,FIG3051
1202,Gustavo,Gabriel,,Orthodox,,167.64000000000001,,56.699,13,1,0,14,FIG2246
1203,Claudia,Gadelha,Claudinha,Orthodox,,162.56,160.02,52.163,18,5,0,23,FIG1140
1204,Alavutdin,Gadjiev,,Orthodox,,187.96,,83.915,18,13,1,32,FIG0476
1205,Magomed,Gadzhiyasulov,,,,,,92.986,7,0,0,7,FIG3458
1206,Justin,Gaethje,The Highlight,Orthodox,,180.34,177.8,70.307,25,4,0,29,FIG0638
1207,Sheila,Gaff,The German Tank,Orthodox,,165.1,,61.235,9,7,0,16,FIG2020
1208,Muin,Gafurov,Tajik,Southpaw,,170.18,172.72,61.235,18,5,0,23,FIG1137
